Owner_info,No_BHK,Locality_info,Price_info,Construction_info,Area_info,Rate_per_sqft
BUILDER,3,Manikonda, 1.6 Cr,Under Construction,2810,"5,699 / sq ft"
BUILDER,2,Shaikpet, 1.43 Cr,Ready to move,1495,"9,565 / sq ft"
BUILDER,2,Bachupally, 56.98 L,Under Construction,1295,"4,400 / sq ft"
BUILDER,2,Shamshabad, 43.6 L,Under Construction,890,"4,899 / sq ft"
BUILDER,3,Tellapur, 65.82 L,Under Construction,1431,"4,600 / sq ft"
BUILDER,3,Attapur, 1.65 Cr,Under Construction,2540,"6,501 / sq ft"
BUILDER,4,Serilingampally, 6.22 Cr,Under Construction,4147,"15,000 / sq ft"
BUILDER,3,Yapral, 1.41 Cr,Under Construction,2615,"5,400 / sq ft"
BUILDER,Residential Plot,Sheriguda, 1.11 Cr,New,3150,"3,555 / sq ft"
BUILDER,3,Manikonda, 95.35 L,Under Construction,1538,"6,200 / sq ft"
BUILDER,4,Bachupally, 1.45 Cr,Under Construction,2300,"6,304 / sq ft"
BUILDER,2,Ghatkesar, 56.25 L,Under Construction,1250,"4,500 / sq ft"
BUILDER,2,Attapur, 72.05 L,Under Construction,1310,"5,500 / sq ft"
BUILDER,3,Kompally, 84.13 L,Under Construction,1790,"4,700 / sq ft"
BUILDER,3,Shankarpalli, 1.46 Cr,Under Construction,3120,"4,700 / sq ft"
BUILDER,3,Nanakramguda, 96.22 L,Ready to move,1415,"6,800 / sq ft"
BUILDER,3,Mallampet, 63.11 L,Under Construction,1503,"4,199 / sq ft"
BUILDER,4,Hitech City, 2.9 Cr,Ready to move,3498,"8,290 / sq ft"
BUILDER,3,Manikonda, 97.11 L,Under Construction,1704,"5,699 / sq ft"
BUILDER,4,Shaikpet, 3.04 Cr,Ready to move,2965,"10,252 / sq ft"
BUILDER,2,Bachupally, 52.58 L,Under Construction,1195,"4,400 / sq ft"
BUILDER,2,Shamshabad, 44.33 L,Under Construction,905,"4,899 / sq ft"
BUILDER,3,Tellapur, 66.01 L,Under Construction,1435,"4,600 / sq ft"
BUILDER,3,Attapur, 1.65 Cr,Under Construction,2540,"6,501 / sq ft"
BUILDER,4,Serilingampally, 4.89 Cr,Under Construction,3262,"15,000 / sq ft"
BUILDER,3,Yapral, 1.59 Cr,Under Construction,2950,"5,400 / sq ft"
BUILDER,Residential Plot,Sheriguda, 1.11 Cr,New,3150,"3,555 / sq ft"
BUILDER,3,Manikonda, 93.31 L,Under Construction,1505,"6,200 / sq ft"
BUILDER,2,Ghatkesar, 54.67 L,Under Construction,1215,"4,500 / sq ft"
BUILDER,3,Attapur, 81.67 L,Under Construction,1485,"5,500 / sq ft"
BUILDER,2,Kompally, 59.69 L,Under Construction,1270,"4,700 / sq ft"
BUILDER,3,Shankarpalli, 1.41 Cr,Under Construction,3000,"4,700 / sq ft"
BUILDER,3,Nanakramguda, 96.9 L,Ready to move,1425,"6,800 / sq ft"
BUILDER,2,Mallampet, 46.48 L,Under Construction,1107,"4,199 / sq ft"
BUILDER,4,Hitech City, 2.56 Cr,Ready to move,3031,"8,446 / sq ft"
BUILDER,3,Manikonda, 1.6 Cr,Under Construction,2810,"5,699 / sq ft"
BUILDER,3,Shaikpet, 1.77 Cr,Ready to move,1865,"9,490 / sq ft"
BUILDER,3,Bachupally, 74.58 L,Under Construction,1695,"4,400 / sq ft"
BUILDER,2,Shamshabad, 48.65 L,Under Construction,945,"5,149 / sq ft"
BUILDER,3,Tellapur, 72.22 L,Under Construction,1570,"4,600 / sq ft"
BUILDER,3,Attapur, 1.65 Cr,Under Construction,2540,"6,501 / sq ft"
BUILDER,4,Serilingampally, 6.38 Cr,Under Construction,4258,"15,000 / sq ft"
BUILDER,3,Yapral, 1.3 Cr,Under Construction,2420,"5,400 / sq ft"
BUILDER,Residential Plot,Sheriguda, 63.99 L,New,1800,"3,555 / sq ft"
BUILDER,2,Manikonda, 77.19 L,Under Construction,1245,"6,200 / sq ft"
BUILDER,3,Ghatkesar, 66.6 L,Under Construction,1480,"4,500 / sq ft"
BUILDER,3,Attapur, 98.72 L,Under Construction,1795,"5,500 / sq ft"
BUILDER,3,Kompally, 81.07 L,Under Construction,1725,"4,700 / sq ft"
BUILDER,3,Mallampet, 63.48 L,Under Construction,1512,"4,199 / sq ft"
OWNER,2,Patancheru, 43.17 L,Ready to move,1439,"3,000 / sq ft"
AGENT,3,Tellapur, 92.62 L,Under Construction,1597,"5,800 / sq ft"
AGENT,2,Nacharam, 47 L,Ready to move,1050,"4,476 / sq ft"
OWNER,2,Nagole, 69 L,Under Construction,1100,"6,272 / sq ft"
OWNER,2,Mokila, 80 L,Under Construction,2600,"3,076 / sq ft"
